slot,value,data_objects,schema_permitted
data_category,instrument_data,26856,true
data_category,processed_data,270990,true
data_category,workflow_parameter_data,6131,true
data_object_type,Analysis Tool Parameter File,3178,true
data_object_type,Annotation Amino Acid FASTA,5210,true
data_object_type,Annotation Enzyme Commission,5154,true
data_object_type,Annotation Info File,5154,true
data_object_type,Annotation KEGG Orthology,5155,true
data_object_type,Annotation Statistics,5132,true
data_object_type,Assembly AGP,3273,true
data_object_type,Assembly Contigs,7726,true
data_object_type,Assembly Coverage BAM,4697,true
data_object_type,Assembly Coverage Stats,4609,true
data_object_type,Assembly Info File,4283,true
data_object_type,Assembly Scaffolds,3540,true
data_object_type,BAI File,69,true
data_object_type,CATH FunFams (Functional Families) Annotation GFF,5155,true
data_object_type,CRT Annotation GFF,5043,true
data_object_type,Centrifuge Krona Plot,4368,true
data_object_type,Centrifuge Taxonomic Classification,4368,true
data_object_type,Centrifuge output report file,4368,true
data_object_type,CheckM Statistics,4005,true
data_object_type,Clusters of Orthologous Groups (COG) Annotation GFF,5155,true
data_object_type,Configuration toml,2948,true
data_object_type,Contaminants Amino Acid FASTA,1,true
data_object_type,Contig Mapping File,3774,true
data_object_type,Crispr Terms,5154,true
data_object_type,Direct Infusion FT ICR-MS Raw Data,3152,true
data_object_type,Direct Infusion FT-ICR MS Analysis Results,5722,true
data_object_type,Direct Infusion FT-ICR MS QC Plots,3139,true
data_object_type,Error Corrected Reads,3091,true
data_object_type,Filtered Sequencing Reads,4725,true
data_object_type,Functional Annotation GFF,5210,true
data_object_type,GC-MS Metabolomics Results,573,true
data_object_type,GC-MS Raw Data,776,true
data_object_type,GOTTCHA2 Classification Report,4368,true
data_object_type,GOTTCHA2 Krona Plot,4368,true
data_object_type,GOTTCHA2 Report Full,4368,true
data_object_type,GTDBTK Archaeal Summary,3234,true
data_object_type,GTDBTK Bacterial Summary,3234,true
data_object_type,GTDBTK Summary JSON,303,true
data_object_type,GeNomad Aggregated Classification,0,true
data_object_type,Gene Phylogeny tsv,5155,true
data_object_type,Genemark Annotation GFF,5043,true
data_object_type,KO_EC Annotation GFF,5154,true
data_object_type,Kraken2 Classification Report,4368,true
data_object_type,Kraken2 Krona Plot,4368,true
data_object_type,Kraken2 Taxonomic Classification,4368,true
data_object_type,LC FT-ICR MS Analysis Results,0,true
data_object_type,LC FT-ICR MS QC Plots,0,true
data_object_type,LC FT-ICR MS Raw Data,0,true
data_object_type,LC-DDA-MS/MS Raw Data,3021,true
data_object_type,LC-MS Lipidomics Processed Data,198,true
data_object_type,LC-MS Lipidomics Results,198,true
data_object_type,LC-MS Metabolomics Processed Data,2749,true
data_object_type,LC-MS Metabolomics Results,2749,true
data_object_type,Mass Spectrometry Reference Spectral Library,0,true
data_object_type,Metagenome Bins Barplot,5896,true
data_object_type,Metagenome Bins Heatmap,5896,true
data_object_type,Metagenome Bins Info File,5896,true
data_object_type,Metagenome Bins Krona Plot,5896,true
data_object_type,Metagenome HQMQ Bins Compression File,6545,true
data_object_type,Metagenome LQ Bins Compression File,5896,true
data_object_type,Metagenome Raw Read 1,2908,true
data_object_type,Metagenome Raw Read 2,2908,true
data_object_type,Metagenome Raw Reads,1978,true
data_object_type,Metaproteomics Workflow Statistics,168,true
data_object_type,Metatranscriptome Expression,69,true
data_object_type,Metatranscriptome Expression Info File,69,true
data_object_type,Metatranscriptome Expression Intergenic,0,true
data_object_type,Metatranscriptome Raw Read 1,0,true
data_object_type,Metatranscriptome Raw Read 2,0,true
data_object_type,Metatranscriptome Raw Reads,118,true
data_object_type,Misc Annotation GFF,0,true
data_object_type,Paired interleaved raw sequencing data,0,true
data_object_type,Peptide Report,168,true
data_object_type,Pfam Annotation GFF,5155,true
data_object_type,Plasmid Summary,0,true
data_object_type,Prodigal Annotation GFF,5043,true
data_object_type,Product Names,5155,true
data_object_type,Protein Report,168,true
data_object_type,QC Statistics,4659,true
data_object_type,QC Statistics Extended,0,true
data_object_type,QC non-rRNA R1,0,true
data_object_type,QC non-rRNA R2,0,true
data_object_type,RFAM Annotation GFF,5043,true
data_object_type,Raw sequencing data read 1,0,true
data_object_type,Raw sequencing data read 2,0,true
data_object_type,Read Based Analysis Info File,3968,true
data_object_type,Read Count and RPKM,0,true
data_object_type,Read Filtering Info File,2917,true
data_object_type,Reference Calibration File,2,true
data_object_type,SMART Annotation GFF,5155,true
data_object_type,SRA toolkit-accessible sequence data,11995,true
data_object_type,SUPERFam Annotation GFF,5155,true
data_object_type,Scaffold Lineage tsv,4405,true
data_object_type,SingleM Clustered Report,0,true
data_object_type,SingleM Krona Plot,0,true
data_object_type,SingleM Taxonomic Classification,0,true
data_object_type,Structural Annotation GFF,5154,true
data_object_type,Structural Annotation Stats Json,0,true
data_object_type,TIGRFam Annotation GFF,5155,true
data_object_type,TMRNA Annotation GFF,0,true
data_object_type,TRNA Annotation GFF,5043,true
data_object_type,Unfiltered Metaproteomics Results,168,true
data_object_type,Unpaired raw sequencing data,0,true
data_object_type,Virus Summary,2,true
data_object_type,Workflow Operation Summary,0,true
data_object_type,rRNA Filtered Sequencing Reads,71,true
type,nmdc:DataObject,303977,not_enumerated
